,truth,"('num_occur', 'index', 0)","('num_occur', 'score', 0)","('num_occur', 'index', 1)","('num_occur', 'score', 1)","('num_occur', 'index', 2)","('num_occur', 'score', 2)","('num_occur', 'index', 3)","('num_occur', 'score', 3)","('num_occur', 'index', 4)","('num_occur', 'score', 4)","('percentage_of_terms', 'index', 0)","('percentage_of_terms', 'score', 0)","('percentage_of_terms', 'index', 1)","('percentage_of_terms', 'score', 1)","('percentage_of_terms', 'index', 2)","('percentage_of_terms', 'score', 2)","('percentage_of_terms', 'index', 3)","('percentage_of_terms', 'score', 3)","('percentage_of_terms', 'index', 4)","('percentage_of_terms', 'score', 4)","('td-idf', 'index', 0)","('td-idf', 'score', 0)","('td-idf', 'index', 1)","('td-idf', 'score', 1)","('td-idf', 'index', 2)","('td-idf', 'score', 2)","('td-idf', 'index', 3)","('td-idf', 'score', 3)","('td-idf', 'index', 4)","('td-idf', 'score', 4)","('word_order', 'index', 0)","('word_order', 'score', 0)","('word_order', 'index', 1)","('word_order', 'score', 1)","('word_order', 'index', 2)","('word_order', 'score', 2)","('word_order', 'index', 3)","('word_order', 'score', 3)","('word_order', 'index', 4)","('word_order', 'score', 4)"
0,0,26,1142,21,458,10,436,20.0,284.0,11.0,204.0,0,1.0,5,0.8,9,0.6,10.0,0.6,20.0,0.6,0,0.003803941506821382,24,0.0011515488020438789,12,0.0007418410695801634,5.0,0.0004087570809564607,2.0,0.0003471857784770312,0,41,26.0,12.0,14.0,6.0,19.0,4.0,10.0,3.0
1,0,26,1142,21,458,10,436,20.0,284.0,11.0,204.0,0,1.0,5,0.8,9,0.6,10.0,0.6,20.0,0.6,0,0.003803941506821382,24,0.0011515488020438789,12,0.0007418410695801634,5.0,0.0004087570809564607,2.0,0.0003471857784770312,0,41,26.0,12.0,14.0,6.0,19.0,4.0,10.0,3.0
2,0,26,1142,21,458,10,436,20.0,284.0,11.0,204.0,0,1.0,5,0.8,9,0.6,10.0,0.6,20.0,0.6,0,0.003803941506821382,24,0.0011515488020438789,12,0.0007418410695801634,5.0,0.0004087570809564607,2.0,0.0003471857784770312,0,41,26.0,12.0,14.0,6.0,19.0,4.0,10.0,3.0
0,1,22,36,12,20,1,18,2.0,14.0,14.0,10.0,1,0.8,2,0.8,3,0.8,5.0,0.8,7.0,0.8,22,0.03129353076671049,1,0.008066363016238112,12,0.005165585098555677,28.0,0.004372474144669725,18.0,0.004189483901489614,1,9,2.0,9.0,28.0,4.0,12.0,3.0,4.0,2.0
1,1,22,36,12,20,1,18,2.0,14.0,14.0,10.0,1,0.8,2,0.8,3,0.8,5.0,0.8,7.0,0.8,22,0.03129353076671049,1,0.008066363016238112,12,0.005165585098555677,28.0,0.004372474144669725,18.0,0.004189483901489614,1,9,2.0,9.0,28.0,4.0,12.0,3.0,4.0,2.0
2,1,22,36,12,20,1,18,2.0,14.0,14.0,10.0,1,0.8,2,0.8,3,0.8,5.0,0.8,7.0,0.8,22,0.03129353076671049,1,0.008066363016238112,12,0.005165585098555677,28.0,0.004372474144669725,18.0,0.004189483901489614,1,9,2.0,9.0,28.0,4.0,12.0,3.0,4.0,2.0
3,1,22,36,12,20,1,18,2.0,14.0,14.0,10.0,1,0.8,2,0.8,3,0.8,5.0,0.8,7.0,0.8,22,0.03129353076671049,1,0.008066363016238112,12,0.005165585098555677,28.0,0.004372474144669725,18.0,0.004189483901489614,1,9,2.0,9.0,28.0,4.0,12.0,3.0,4.0,2.0
0,2,19,1029,21,458,10,436,11.0,204.0,7.0,103.0,2,1.0,12,1.0,30,1.0,5.0,0.8,18.0,0.8,18,0.005017010568617829,22,0.004163864101365558,4,0.0019152860216710807,3.0,0.001783464716535824,13.0,0.001625519501787264,2,4,13.0,4.0,12.0,3.0,18.0,3.0,22.0,3.0
1,2,19,1029,21,458,10,436,11.0,204.0,7.0,103.0,2,1.0,12,1.0,30,1.0,5.0,0.8,18.0,0.8,18,0.005017010568617829,22,0.004163864101365558,4,0.0019152860216710807,3.0,0.001783464716535824,13.0,0.001625519501787264,2,4,13.0,4.0,12.0,3.0,18.0,3.0,22.0,3.0
2,2,19,1029,21,458,10,436,11.0,204.0,7.0,103.0,2,1.0,12,1.0,30,1.0,5.0,0.8,18.0,0.8,18,0.005017010568617829,22,0.004163864101365558,4,0.0019152860216710807,3.0,0.001783464716535824,13.0,0.001625519501787264,2,4,13.0,4.0,12.0,3.0,18.0,3.0,22.0,3.0
