,search term,actual_words_searched,num_occur,percentage_of_terms,td-idf,word_order,truth
0,"ureas volume 6 , issue","['ureas', 'volume', '6', ',', 'issue']","[(26, 1142), (21, 458), (10, 436), (20, 284), (11, 204), (1, 166), (30, 122), (7, 103), (9, 100), (23, 95), (29, 77), (13, 74), (28, 69), (25, 67), (17, 51), (16, 43), (3, 38), (27, 33), (18, 24), (22, 22), (4, 19), (8, 16), (15, 14), (0, 11), (6, 11), (14, 4), (2, 2), (12, 2), (24, 2), (5, 1), (19, 1)]","[(0, 1.0), (5, 0.8), (9, 0.6), (10, 0.6), (20, 0.6), (2, 0.6), (12, 0.6), (14, 0.6), (19, 0.6), (24, 0.6), (1, 0.4), (29, 0.4), (3, 0.4), (11, 0.4), (16, 0.4), (18, 0.4), (21, 0.4), (22, 0.4), (25, 0.4), (26, 0.4), (30, 0.4), (4, 0.2), (6, 0.2), (7, 0.2), (8, 0.2), (13, 0.2), (15, 0.2), (17, 0.2), (23, 0.2), (27, 0.2), (28, 0.2)]","[(0, 0.003803941506821382), (24, 0.0011515488020438789), (12, 0.0007418410695801634), (5, 0.0004087570809564607), (2, 0.0003471857784770312), (14, 0.00030526683848842865), (19, 0.00015337351732576577), (15, -6.601463130056997e-06), (6, -1.2191803777748856e-05), (9, -1.468709595680128e-05), (8, -1.5733103766407616e-05), (3, -1.6539929600582365e-05), (4, -1.7762446136277583e-05), (22, -1.8009212686928514e-05), (7, -1.8222955898392585e-05), (16, -1.8541084184610045e-05), (17, -1.879881141460476e-05), (10, -1.99351405534663e-05), (30, -2.0303659710931603e-05), (11, -2.1650490276774153e-05), (23, -2.2562753744535223e-05), (1, -2.3177381868868017e-05), (28, -2.3499973893963646e-05), (18, -2.3671825850374764e-05), (20, -2.549349572168804e-05), (27, -2.608687425974204e-05), (25, -2.877419177518091e-05), (21, -2.893029989479066e-05), (13, -2.935684921726981e-05), (29, -3.5682046401256354e-05), (26, -5.6207491572618445e-05)]","[(0, 41), (26, 12), (14, 6), (19, 4), (10, 3), (25, 3), (12, 2), (1, 0), (2, 0), (3, 0), (5, 0), (9, 0), (11, 0), (16, 0), (18, 0), (20, 0), (21, 0), (22, 0), (24, 0), (29, 0), (30, 0)]",0
0,bitcoin ? bitcoin digital currency,"['bitcoin', '?', 'bitcoin', 'digital', 'currency']","[(22, 36), (12, 20), (1, 18), (2, 14), (14, 10), (5, 6), (10, 6), (15, 6), (28, 4), (30, 4), (11, 4), (18, 4), (16, 3), (0, 3), (20, 3), (3, 2), (6, 2), (13, 2), (21, 2), (4, 1), (7, 1), (8, 1), (24, 1), (27, 1), (19, 1), (25, 1), (26, 1), (29, 1)]","[(1, 0.8), (2, 0.8), (3, 0.8), (5, 0.8), (7, 0.8), (12, 0.8), (13, 0.8), (24, 0.8), (28, 0.8), (4, 0.6), (6, 0.6), (8, 0.6), (27, 0.6), (30, 0.6), (19, 0.4), (10, 0.2), (11, 0.2), (14, 0.2), (15, 0.2), (16, 0.2), (18, 0.2), (22, 0.2), (25, 0.2), (26, 0.2), (0, 0.2), (20, 0.2), (21, 0.2), (29, 0.2)]","[(22, 0.03129353076671049), (1, 0.008066363016238112), (12, 0.005165585098555677), (28, 0.004372474144669725), (18, 0.004189483901489614), (6, 0.0033609762748096792), (15, 0.0030043009556734728), (4, 0.0030005311702914713), (3, 0.002794016879218779), (13, 0.002546576269989072), (30, 0.0021366011429320075), (5, 0.0017077535118238509), (2, 0.0016922659449448631), (8, 0.0014909208780024645), (16, 0.0013736242337437537), (27, 0.0011985834509431576), (29, 0.0007026178850356442), (7, 0.000567845997668984), (25, 0.0004560456843499014), (11, 0.00045079343066373927), (20, 0.0004083123139310952), (24, 0.00040092302623956534), (0, 0.0003412575352301524), (10, 0.0002913158284208471), (21, 0.00019154800156083367), (14, 0.00017581638036282132), (26, 5.2264658774115045e-05), (19, 5.045105209788594e-05)]","[(1, 9), (2, 9), (28, 4), (12, 3), (4, 2), (30, 2), (3, 1), (5, 1), (7, 1), (6, 0), (8, 0), (13, 0), (19, 0), (24, 0), (27, 0)]",1
0,"bitcoin wikipedia , free encyclopedia","['bitcoin', 'wikipedia', ',', 'free', 'encyclopedia']","[(19, 1029), (21, 458), (10, 436), (11, 204), (7, 103), (23, 95), (29, 77), (25, 67), (17, 51), (16, 43), (27, 33), (8, 16), (15, 14), (6, 11), (26, 3), (1, 2), (3, 2), (13, 2), (28, 2), (2, 1), (4, 1), (5, 1), (12, 1), (24, 1), (30, 1), (18, 1), (22, 1), (0, 1), (9, 1), (14, 1), (20, 1)]","[(2, 1.0), (12, 1.0), (30, 1.0), (5, 0.8), (18, 0.8), (22, 0.8), (1, 0.6), (3, 0.6), (4, 0.6), (13, 0.6), (24, 0.6), (28, 0.6), (6, 0.4), (7, 0.4), (8, 0.4), (27, 0.4), (0, 0.4), (9, 0.4), (14, 0.4), (20, 0.4), (26, 0.4), (10, 0.2), (11, 0.2), (15, 0.2), (16, 0.2), (17, 0.2), (19, 0.2), (21, 0.2), (23, 0.2), (25, 0.2), (29, 0.2)]","[(18, 0.005017010568617829), (22, 0.004163864101365558), (4, 0.0019152860216710807), (3, 0.001783464716535824), (13, 0.001625519501787264), (28, 0.0013955093505311992), (30, 0.0008465234550763828), (1, 0.0005720984220575955), (20, 0.00045659962592207906), (12, 0.00040932197004441863), (26, 0.0003025058801204896), (9, 0.00030089876023521074), (24, 0.00025591544441383533), (2, 0.00019156497617211935), (5, 0.00018168096713679484), (0, 0.00015370404221365966), (14, 3.392061999366134e-05), (15, -6.601463130056997e-06), (6, -1.2191803777748856e-05), (8, -1.5733103766407616e-05), (7, -1.8222955898392585e-05), (16, -1.8541084184610045e-05), (17, -1.879881141460476e-05), (10, -1.99351405534663e-05), (11, -2.1650490276774153e-05), (23, -2.2562753744535223e-05), (27, -2.608687425974204e-05), (25, -2.877419177518091e-05), (21, -2.893029989479066e-05), (19, -3.4239343588206486e-05), (29, -3.5682046401256354e-05)]","[(2, 4), (13, 4), (12, 3), (18, 3), (22, 3), (28, 3), (30, 3), (1, 2), (8, 2), (5, 1), (7, 1), (9, 1), (20, 1), (27, 1), (0, 0), (3, 0), (4, 0), (6, 0), (14, 0), (24, 0), (26, 0)]",2
0,three people supposedly bitcoin founder,"['three', 'people', 'supposedly', 'bitcoin', 'founder']","[(2, 287), (1, 114), (5, 42), (28, 29), (13, 11), (19, 9), (7, 7), (3, 5), (10, 5), (8, 4), (14, 4), (4, 4), (27, 4), (21, 2), (23, 2), (12, 2), (15, 2), (11, 1), (16, 1), (17, 1), (20, 1), (30, 1), (0, 1), (24, 1), (6, 1)]","[(3, 1.0), (30, 1.0), (2, 0.6), (5, 0.6), (16, 0.6), (17, 0.6), (12, 0.6), (8, 0.4), (10, 0.4), (20, 0.4), (23, 0.4), (1, 0.4), (7, 0.4), (24, 0.4), (28, 0.4), (11, 0.2), (14, 0.2), (19, 0.2), (21, 0.2), (0, 0.2), (15, 0.2), (4, 0.2), (6, 0.2), (13, 0.2), (27, 0.2)]","[(1, 0.039195067632697096), (2, 0.026616061100782133), (28, 0.024321287729620576), (3, 0.013800242666441757), (13, 0.010745847829641497), (8, 0.009685559074832081), (4, 0.009208299642159195), (5, 0.009171587971878385), (27, 0.0077864298444728485), (16, 0.0031177100611288256), (7, 0.0030496494289378026), (6, 0.0027292640691966687), (17, 0.002337366815047621), (15, 0.0019320867762471427), (30, 0.0010553126744926049), (12, 0.0010205568678476387), (23, 0.0009731571096856007), (19, 0.0007374334671645595), (10, 0.000468368073062463), (21, 0.0003110912041269998), (24, 0.0003075971510984627), (11, 0.0002613411793801351), (20, 0.00018390583842931333), (14, 0.0001630833355515874), (0, 0.00015370404221365966)]","[(3, 4), (7, 1), (30, 1), (1, 0), (2, 0), (5, 0), (8, 0), (10, 0), (12, 0), (16, 0), (17, 0), (20, 0), (23, 0), (24, 0), (28, 0)]",3
0,first sight its pretty clear,"['first', 'sight', 'it\x92s', 'pretty', 'clear']","[(2, 14), (12, 11), (21, 7), (17, 5), (24, 5), (9, 4), (28, 4), (10, 3), (11, 3), (0, 2), (16, 2), (19, 2), (30, 2), (1, 1), (3, 1), (4, 1), (5, 1), (7, 1), (13, 1), (14, 1), (20, 1), (23, 1), (26, 1), (29, 1), (27, 1)]","[(4, 1.0), (5, 0.6), (0, 0.4), (1, 0.4), (7, 0.4), (10, 0.4), (14, 0.4), (16, 0.4), (17, 0.4), (19, 0.4), (26, 0.4), (30, 0.4), (2, 0.2), (3, 0.2), (9, 0.2), (11, 0.2), (12, 0.2), (13, 0.2), (20, 0.2), (21, 0.2), (23, 0.2), (24, 0.2), (28, 0.2), (29, 0.2), (27, 0.2)]","[(17, 0.009374642605360172), (4, 0.005282757360546009), (16, 0.0048731317898084835), (27, 0.004020986411612819), (30, 0.0018808578837857302), (28, 0.0010792684023315068), (7, 0.0009997538614308135), (0, 0.000847895459124621), (1, 0.0007889832421594687), (12, 0.0007012686468991584), (10, 0.000697715816248099), (5, 0.0005011139096476143), (24, 0.0004948040167544234), (9, 0.00046542221175224817), (2, 0.0004177061092395819), (19, 0.0003760551510137982), (29, 0.00036712183082181644), (21, 0.00035029721107792593), (3, 0.00034482698279620006), (13, 0.00031428879981793885), (11, 0.0002522377040987011), (26, 0.00025035288508134135), (23, 0.0001881566967982211), (14, 9.356012779201092e-05), (20, 7.111516678318515e-05)]","[(4, 4), (0, 0), (1, 0), (5, 0), (7, 0), (10, 0), (14, 0), (16, 0), (17, 0), (19, 0), (26, 0), (30, 0)]",4
0,"following banking , investing ,","['following', 'banking', ',', 'investing', ',']","[(14, 2418), (26, 1142), (19, 1029), (21, 458), (2, 446), (10, 436), (0, 385), (5, 304), (20, 284), (12, 270), (11, 204), (1, 166), (24, 161), (30, 122), (7, 103), (9, 100), (23, 95), (29, 77), (13, 74), (28, 69), (25, 67), (17, 51), (16, 43), (3, 38), (27, 33), (18, 24), (22, 22), (4, 19), (8, 16), (15, 14), (6, 11)]","[(1, 0.8), (5, 0.8), (2, 0.6), (12, 0.6), (0, 0.4), (7, 0.4), (9, 0.4), (10, 0.4), (11, 0.4), (13, 0.4), (14, 0.4), (15, 0.4), (17, 0.4), (19, 0.4), (20, 0.4), (21, 0.4), (23, 0.4), (27, 0.4), (4, 0.4), (24, 0.4), (30, 0.4), (3, 0.2), (6, 0.2), (8, 0.2), (16, 0.2), (18, 0.2), (22, 0.2), (25, 0.2), (26, 0.2), (28, 0.2), (29, 0.2)]","[(15, -6.601463130056997e-06), (6, -1.2191803777748856e-05), (9, -1.468709595680128e-05), (8, -1.5733103766407616e-05), (3, -1.6539929600582365e-05), (2, -1.6796796793118267e-05), (4, -1.7762446136277583e-05), (22, -1.8009212686928514e-05), (7, -1.8222955898392585e-05), (16, -1.8541084184610045e-05), (17, -1.879881141460476e-05), (10, -1.99351405534663e-05), (24, -2.0111196352063648e-05), (30, -2.0303659710931603e-05), (11, -2.1650490276774153e-05), (12, -2.172722788100453e-05), (23, -2.2562753744535223e-05), (1, -2.3177381868868017e-05), (28, -2.3499973893963646e-05), (18, -2.3671825850374764e-05), (20, -2.549349572168804e-05), (27, -2.608687425974204e-05), (5, -2.6958675466662704e-05), (25, -2.877419177518091e-05), (0, -2.8884280408553646e-05), (21, -2.893029989479066e-05), (13, -2.935684921726981e-05), (19, -3.4239343588206486e-05), (29, -3.5682046401256354e-05), (14, -4.0034610913606734e-05), (26, -5.6207491572618445e-05)]","[(14, 10), (29, 6), (5, 4), (21, 4), (25, 4), (20, 3), (28, 3), (6, 2), (10, 2), (18, 2), (23, 2), (26, 2), (0, 1), (2, 1), (3, 1), (9, 1), (12, 1), (16, 1), (19, 1), (22, 1), (24, 1), (1, 0), (4, 0), (7, 0), (8, 0), (11, 0), (13, 0), (15, 0), (17, 0), (27, 0), (30, 0)]",5
0,blockchain technology ? blockchain technology,"['blockchain', 'technology', '?', 'blockchain', 'technology']","[(22, 36), (7, 21), (24, 21), (5, 18), (27, 13), (0, 13), (6, 10), (10, 6), (15, 6), (20, 5), (28, 4), (11, 4), (19, 4), (2, 3), (8, 3), (13, 3), (14, 3), (17, 3), (16, 3), (1, 2), (3, 2), (4, 2), (18, 2), (12, 1), (30, 1), (25, 1), (26, 1)]","[(1, 0.6), (2, 0.6), (5, 0.6), (6, 0.6), (7, 0.6), (8, 0.6), (12, 0.6), (13, 0.6), (27, 0.6), (3, 0.4), (4, 0.4), (28, 0.4), (30, 0.4), (14, 0.4), (18, 0.4), (0, 0.2), (17, 0.2), (20, 0.2), (10, 0.2), (11, 0.2), (15, 0.2), (16, 0.2), (19, 0.2), (22, 0.2), (24, 0.2), (25, 0.2), (26, 0.2)]","[(22, 0.03129353076671049), (6, 0.02270699922599735), (27, 0.021054063252928423), (7, 0.007611764798138771), (8, 0.006043661684236489), (18, 0.004041429220039895), (4, 0.0038305720433421614), (28, 0.003667450525705311), (5, 0.0032702574084623073), (15, 0.0030043009556734728), (24, 0.002785552474005536), (13, 0.002438279252680896), (3, 0.002343505835251639), (17, 0.002265509751348078), (0, 0.0019981525487775755), (16, 0.0013736242337437537), (20, 0.0009195291921465668), (1, 0.0005720984220575955), (25, 0.0004560456843499014), (11, 0.00045079343066373927), (30, 0.00034095648992596634), (10, 0.0002913158284208471), (2, 0.00023147139565968806), (12, 0.00016486369198516037), (19, 0.0001413351115018161), (14, 0.00010176185998098401), (26, 5.2264658774115045e-05)]","[(7, 25), (5, 19), (6, 19), (27, 18), (13, 4), (2, 2), (4, 2), (8, 2), (0, 0), (1, 0), (3, 0), (12, 0), (14, 0), (17, 0), (18, 0), (20, 0), (28, 0), (30, 0)]",6
0,21st century technology . increasing,"['21st', 'century', 'technology', '.', 'increasing']","[(19, 814), (21, 351), (12, 214), (11, 165), (9, 145), (26, 105), (30, 84), (23, 79), (15, 66), (29, 61), (28, 57), (17, 46), (16, 46), (13, 40), (22, 37), (3, 36), (6, 28), (27, 28), (8, 24), (25, 20), (18, 15), (14, 6), (0, 3), (2, 3), (24, 2), (7, 1), (1, 1), (4, 1), (5, 1), (20, 1), (10, 1)]","[(7, 1.0), (0, 0.6), (1, 0.6), (2, 0.6), (4, 0.6), (5, 0.6), (14, 0.6), (20, 0.6), (28, 0.4), (23, 0.4), (6, 0.4), (8, 0.4), (12, 0.4), (13, 0.4), (17, 0.4), (18, 0.4), (27, 0.4), (30, 0.4), (10, 0.4), (24, 0.4), (3, 0.2), (9, 0.2), (11, 0.2), (15, 0.2), (16, 0.2), (19, 0.2), (21, 0.2), (22, 0.2), (25, 0.2), (26, 0.2), (29, 0.2)]","[(4, 0.003276529307704397), (24, 0.0008756023324229411), (0, 0.000788836434862538), (7, 0.0006200782288305085), (1, 0.0004893517797220852), (2, 0.0003959841001254147), (14, 0.00034817328885770546), (20, 0.0003146124717946053), (5, 0.00031080632696123647), (10, 0.0001602498739946154), (26, -5.16793924266632e-06), (25, -8.589310977665943e-06), (30, -1.397956898129717e-05), (18, -1.4794891156484228e-05), (3, -1.56694069900254e-05), (13, -1.5868567144470165e-05), (17, -1.6955790687682723e-05), (12, -1.7220839876055443e-05), (11, -1.7511425959155564e-05), (23, -1.87627110086135e-05), (28, -1.9413021912404754e-05), (16, -1.9834648197489817e-05), (9, -2.1296289137361857e-05), (27, -2.213431755372052e-05), (21, -2.2171474373518607e-05), (8, -2.3599655649611425e-05), (19, -2.7085350515840696e-05), (29, -2.8267595200995294e-05), (22, -3.0288221337107048e-05), (6, -3.103368234336073e-05), (15, -3.1121183327411556e-05)]","[(7, 7), (24, 3), (6, 2), (1, 1), (2, 1), (18, 1), (20, 1), (23, 1), (0, 0), (4, 0), (5, 0), (8, 0), (10, 0), (12, 0), (13, 0), (14, 0), (17, 0), (27, 0), (28, 0), (30, 0)]",7
0,surely 's complicated ? yes,"['surely', ""'s"", 'complicated', '?', 'yes']","[(22, 36), (30, 31), (3, 23), (24, 21), (2, 20), (7, 17), (11, 11), (5, 10), (14, 10), (27, 8), (13, 7), (10, 6), (15, 6), (6, 4), (18, 4), (19, 4), (1, 3), (16, 3), (9, 2), (21, 2), (29, 2), (8, 1), (12, 1), (20, 1), (28, 1), (25, 1), (26, 1)]","[(8, 1.0), (10, 0.6), (5, 0.6), (1, 0.4), (2, 0.4), (3, 0.4), (6, 0.4), (12, 0.4), (13, 0.4), (14, 0.4), (16, 0.4), (21, 0.4), (22, 0.4), (24, 0.4), (27, 0.4), (28, 0.4), (7, 0.4), (11, 0.4), (9, 0.2), (20, 0.2), (29, 0.2), (30, 0.2), (15, 0.2), (18, 0.2), (19, 0.2), (25, 0.2), (26, 0.2)]","[(22, 0.03129353076671049), (3, 0.010630603381613828), (11, 0.009902723694161165), (8, 0.008341013665896835), (30, 0.0070022738558176605), (27, 0.006715496253858351), (6, 0.004707770569715133), (18, 0.004189483901489614), (7, 0.003193820763628739), (15, 0.0030043009556734728), (13, 0.0029488710487422277), (24, 0.002785552474005536), (16, 0.0013736242337437537), (29, 0.00125791682726869), (5, 0.0009416835549815119), (21, 0.00080109516771119), (2, 0.0007998372464894346), (25, 0.0004560456843499014), (1, 0.0004447926090217869), (9, 0.0003986840217572897), (28, 0.0003616581931856134), (10, 0.0002913158284208471), (14, 0.00017581638036282132), (19, 0.0001413351115018161), (20, 0.00012183552905357753), (12, 8.545167388891614e-05), (26, 5.2264658774115045e-05)]","[(8, 4), (3, 1), (1, 0), (2, 0), (5, 0), (6, 0), (7, 0), (10, 0), (11, 0), (12, 0), (13, 0), (14, 0), (16, 0), (21, 0), (22, 0), (24, 0), (27, 0), (28, 0)]",8
0,"deep learning , convolutional neural","['deep', 'learning', ',', 'convolutional', 'neural']","[(2, 446), (0, 385), (5, 304), (12, 270), (1, 166), (24, 161), (14, 159), (30, 122), (19, 109), (7, 103), (23, 95), (13, 74), (28, 69), (25, 67), (17, 51), (16, 43), (3, 38), (27, 33), (9, 28), (11, 22), (10, 19), (4, 19), (21, 18), (8, 16), (15, 14), (6, 11), (18, 9), (26, 9), (22, 5), (29, 5), (20, 1)]","[(9, 1.0), (10, 1.0), (14, 1.0), (18, 1.0), (22, 1.0), (26, 1.0), (19, 0.8), (11, 0.6), (20, 0.6), (21, 0.6), (29, 0.6), (0, 0.4), (1, 0.2), (2, 0.2), (3, 0.2), (4, 0.2), (5, 0.2), (6, 0.2), (7, 0.2), (8, 0.2), (12, 0.2), (13, 0.2), (15, 0.2), (16, 0.2), (17, 0.2), (23, 0.2), (24, 0.2), (25, 0.2), (27, 0.2), (28, 0.2), (30, 0.2)]","[(18, 0.028491282213318102), (9, 0.013199057880243906), (22, 0.013136843321707585), (19, 0.011640872243764654), (14, 0.008449391034206298), (11, 0.007493922863610487), (29, 0.007436661305679293), (21, 0.0036492946665707088), (10, 0.0027882735782904164), (26, 0.0014217380259049317), (20, 0.0002881111198860444), (15, -6.601463130056997e-06), (6, -1.2191803777748856e-05), (8, -1.5733103766407616e-05), (3, -1.6539929600582365e-05), (2, -1.6796796793118267e-05), (4, -1.7762446136277583e-05), (7, -1.8222955898392585e-05), (16, -1.8541084184610045e-05), (17, -1.879881141460476e-05), (24, -2.0111196352063648e-05), (30, -2.0303659710931603e-05), (12, -2.172722788100453e-05), (23, -2.2562753744535223e-05), (1, -2.3177381868868017e-05), (28, -2.3499973893963646e-05), (27, -2.608687425974204e-05), (5, -2.6958675466662704e-05), (25, -2.877419177518091e-05), (0, -2.8884280408553646e-05), (13, -2.935684921726981e-05)]","[(14, 28), (26, 14), (9, 9), (18, 6), (22, 6), (10, 5), (20, 5), (19, 4), (21, 2), (0, 1), (11, 0), (29, 0)]",9
